#acid_cid, time(sec), point_source, latitude(deg), longitude(deg), altitude(feet), altDot(feet/sec), air_temp(Kelvin), air_density, pressure, delta_distance(nm), groundspeed(kts), heading(deg), windDirTo(deg), windMag(kts), true_airspeedCalc(kts), true_airspeedUsed(kts), true_airspeed(mps), true_airspeed_dot(mps2), bank_angle, config, lift_coeff, profile_drag_coeff, induced_drag_coeff, drag_coeff, thrust_drag(N), thrust_accel(N), thrust_pe(N), totalThrustCalc(N), totalThrustUsed(N), spec_fuel_consump(kg/min/kN), fuel_consump_rate(kg/min), fuel_burned(kg), weight(kg)
ABC006_006, 49702.000, T, 39.413611, -74.550833, 800.0, 0.000, 281.715, 1.213, 984.286939, 0.515, 148.000, 180.000, 113.885, 5.884, 145.717, 144.037, 74.099, -0.552, 0.000, IC, 0.802856, 0.018235, 0.042467, 0.045608, 10722.851, -11432.356, 1355.020, 645.515, 645.515, 0.863109, 8.196634, 1.366, 20700.671
ABC006_006, 49712.000, T, 39.416111, -74.545000, 800.0, 0.000, 281.711, 1.213, 984.286939, 0.309, 140.000, 90.000, 113.801, 5.892, 134.630, 138.138, 71.064, -0.303, 0.000, IC, 0.900095, 0.018235, 0.042467, 0.052641, 11385.030, -6282.179, 0.000, 5102.851, 5102.851, 0.849282, 8.196634, 1.366, 20699.305
ABC006_006, 49722.000, T, 39.421667, -74.538611, 633.3, -10.000, 281.707, 1.213, 990.264916, 0.446, 140.000, 180.000, 113.716, 5.901, 137.733, 136.623, 70.285, -0.074, 0.000, IC, 0.949105, 0.018235, 0.042467, 0.056489, 11952.952, -1532.851, -14322.603, -3902.502, -3902.502, 0.843119, 8.200481, 1.367, 20697.938
ABC006_006, 49732.000, T, 39.426389, -74.536111, 566.7, -10.000, 281.706, 1.213, 992.664323, 0.306, 136.000, 90.000, 113.691, 5.903, 130.616, 137.826, 70.904, 0.062, 0.000, IC, 0.951156, 0.018235, 0.042467, 0.056655, 12200.526, 1280.432, -5897.153, 7583.805, 7583.805, 0.842860, 8.202020, 1.367, 20696.571
ABC006_006, 49742.000, T, 39.433889, -74.534444, 433.3, -10.000, 281.706, 1.213, 997.477263, 0.457, 138.000, 180.000, 113.692, 5.903, 135.736, 137.756, 70.868, 0.013, 0.000, IC, 0.943295, 0.018235, 0.042467, 0.056022, 12052.020, 279.180, -11622.606, 708.593, 708.593, 0.843801, 8.205098, 1.368, 20695.203
ABC006_006, 49752.000, T, 39.439167, -74.534167, 283.3, -15.000, 281.707, 1.213, 1002.914390, 0.317, 135.000, 90.000, 113.709, 5.902, 129.618, 137.652, 70.814, -0.005, 0.000, IC, 0.944459, 0.018235, 0.042467, 0.056116, 12053.457, -110.763, -13365.114, -1422.421, -1422.421, 0.843656, 8.208560, 1.368, 20693.835
ABC006_006, 49762.000, T, 39.446111, -74.537222, 200.0, -10.000, 281.711, 1.213, 1005.945371, 0.440, 130.000, 0.000, 113.798, 5.893, 132.488, 137.597, 70.786, -0.003, 0.000, IC, 0.945648, 0.018235, 0.042467, 0.056211, 12062.309, -58.099, -7710.133, 4294.077, 4294.077, 0.843524, 8.210484, 1.368, 20692.467
ABC006_006, 49772.000, T, 39.449722, -74.541667, 100.0, -10.000, 281.715, 1.213, 1009.592336, 0.299, 132.000, 90.000, 113.900, 5.882, 126.644, 137.554, 70.764, -0.002, 0.000, IC, 0.946440, 0.018235, 0.042467, 0.056275, 12066.097, -38.851, -9111.373, 2915.873, 2915.873, 0.843443, 8.212792, 1.369, 20691.098
ABC006_006, 49782.000, T, 39.452778, -74.550278, 0.0, -10.000, 281.724, 1.212, 1013.250000, 0.439, 131.000, 0.000, 114.077, 5.865, 133.500, 137.508, 70.740, -0.002, 0.000, IC, 0.947314, 0.018235, 0.042467, 0.056345, 12068.881, -46.901, -9180.318, 2841.661, 2841.661, 0.843369, 8.215100, 1.369, 20689.729
ABC006_006, 49792.000, T, 39.455000, -74.555833, 0.0, -5.000, 281.729, 1.212, 1013.250000, 0.290, 135.000, 90.000, 114.191, 5.853, 129.683, 137.514, 70.744, 0.000, 0.000, IC, 0.947732, 0.018235, 0.042467, 0.056379, 12074.666, 2.259, 0.000, 12076.924, 12076.924, 0.843336, 10.184905, 1.697, 20688.031
ABC006_006, 49802.000, T, 39.458611, -74.564167, 0.0, 0.000, 281.736, 1.212, 1013.250000, 0.443, 126.000, 0.000, 114.362, 5.836, 128.518, 137.545, 70.759, 0.002, 0.000, IC, 0.947702, 0.018235, 0.042467, 0.056376, 12075.641, 32.843, 0.000, 12108.484, 12108.484, 0.843367, 10.211901, 1.702, 20686.329
