#acid_cid, time(sec), point_source, latitude(deg), longitude(deg), altitude(feet), altDot(feet/sec), air_temp(Kelvin), air_density, pressure, delta_distance(nm), groundspeed(kts), heading(deg), windDirTo(deg), windMag(kts), true_airspeedCalc(kts), true_airspeedUsed(kts), true_airspeed(mps), true_airspeed_dot(mps2), bank_angle, config, lift_coeff, profile_drag_coeff, induced_drag_coeff, drag_coeff, thrust_drag(N), thrust_accel(N), thrust_pe(N), totalThrustCalc(N), totalThrustUsed(N), spec_fuel_consump(kg/min/kN), fuel_consump_rate(kg/min), fuel_burned(kg), weight(kg)
ABC006_006, 49532.000, T, 39.460000, -74.572778, 0.0, 0.000, 281.744, 1.211, 1013.250000, 0.000, 133.000, 0.000, 114.521, 5.821, 135.519, 137.567, 70.771, 0.000, 0.000, TO, 0.000000, 0.000000, 0.000000, 0.000000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000000, 0.000000, 0.000, 20749.198
ABC006_006, 49542.000, T, 39.463889, -74.582222, 0.0, 0.000, 281.752, 1.211, 1013.250000, 0.496, 159.000, 0.000, 114.707, 5.803, 161.512, 149.539, 76.930, 0.308, 0.000, TO, 0.872979, 0.018235, 0.042467, 0.050599, 12802.400, 6389.737, 0.000, 19192.137, 19192.137, 0.853381, 16.378214, 2.730, 20746.468
ABC006_006, 49552.000, T, 39.466667, -74.589444, 250.0, 15.000, 281.758, 1.211, 1004.125894, 0.374, 174.000, 90.000, 114.846, 5.790, 168.764, 171.546, 88.251, 1.132, 0.000, TO, 0.698080, 0.018235, 0.042467, 0.038930, 12958.963, 23487.269, 17325.286, 53771.519, 53771.519, 0.881627, 47.406404, 7.901, 20738.567
ABC006_006, 49555.462, I, 39.468301, -74.593291, 400.0, 21.923, 281.762, 1.210, 998.683446, 0.203, 178.846, �, 0.000, 0.000, 176.293, 174.581, 89.812, 0.451, 0.000, TO, 0.600578, 0.018235, 0.042467, 0.033553, 11566.148, 9355.869, 29205.640, 50127.656, 50127.656, 0.902443, 45.237361, 2.610, 20735.957
ABC006_006, 49562.000, T, 39.471389, -74.600556, 683.3, 35.000, 281.768, 1.210, 988.468444, 0.384, 188.000, 0.000, 115.059, 5.769, 190.515, 190.515, 98.010, 1.092, 0.000, IC, 0.539861, 0.018235, 0.042467, 0.030612, 12563.394, 22642.168, 27780.101, 62985.664, 62985.664, 0.918212, 57.834184, 6.302, 20729.655
ABC006_006, 49572.000, T, 39.474167, -74.609167, 1100.0, 40.000, 281.885, 1.205, 973.600237, 0.432, 195.000, 90.000, 118.343, 5.637, 190.058, 192.338, 98.947, 0.094, 0.000, IC, 0.492872, 0.018235, 0.042467, 0.028551, 11892.620, 1944.182, 25744.930, 39581.731, 39581.731, 0.932973, 36.928675, 6.155, 20723.500
ABC006_006, 49582.000, T, 39.473333, -74.623333, 1250.0, 25.000, 281.883, 1.205, 968.292234, 0.658, 204.000, 0.028, 118.253, 5.630, 206.722, 203.868, 104.879, 0.317, 0.000, IC, 0.460071, 0.018235, 0.042467, 0.027224, 12740.067, 6561.235, 8856.654, 28157.957, 28157.957, 0.944073, 26.583155, 4.431, 20719.070
ABC006_006, 49592.000, T, 39.468889, -74.630833, 1133.3, 0.000, 281.883, 1.205, 972.418649, 0.438, 210.000, 90.000, 118.225, 5.628, 205.059, 208.113, 107.063, 0.218, 0.000, IC, 0.425421, 0.018235, 0.042467, 0.025921, 12640.753, 4524.654, -6690.264, 10475.143, 10475.143, 0.957186, 10.026657, 1.671, 20717.398
ABC006_006, 49602.000, T, 39.458333, -74.635833, 1166.7, 0.000, 281.883, 1.205, 971.238223, 0.674, 207.000, 0.000, 118.242, 5.629, 209.722, 208.668, 107.348, 0.013, 0.000, IC, 0.415647, 0.018235, 0.042467, 0.025572, 12537.011, 271.623, 1939.050, 14747.685, 14747.685, 0.961175, 14.175111, 2.363, 20715.036
ABC006_006, 49612.000, T, 39.450833, -74.635000, 1300.0, 10.000, 281.884, 1.205, 966.528116, 0.452, 202.000, 90.000, 118.280, 5.632, 197.058, 199.946, 102.861, -0.401, 0.000, IC, 0.432380, 0.018235, 0.042467, 0.026174, 11782.141, -8302.294, 7947.281, 11427.128, 11427.128, 0.954386, 10.905893, 1.818, 20713.218
ABC006_006, 49622.000, T, 39.440556, -74.628889, 1233.3, 0.000, 281.885, 1.205, 968.880852, 0.679, 200.000, 180.000, 118.357, 5.638, 197.384, 195.219, 100.430, -0.243, 0.000, IC, 0.462273, 0.018235, 0.042467, 0.027310, 11718.939, -5036.770, -4013.025, 2669.144, 2669.144, 0.943207, 8.186632, 1.364, 20711.854
ABC006_006, 49632.000, T, 39.435278, -74.621667, 1183.3, -5.000, 281.887, 1.205, 970.648445, 0.461, 198.000, 90.000, 118.419, 5.643, 193.056, 193.831, 99.715, -0.066, 0.000, IC, 0.476889, 0.018235, 0.042467, 0.027893, 11799.437, -1362.432, -3039.970, 7397.035, 7397.035, 0.938124, 8.187786, 1.365, 20710.489
ABC006_006, 49642.000, T, 39.429722, -74.609722, 1200.0, 0.000, 281.888, 1.205, 970.058957, 0.646, 194.000, 180.000, 118.509, 5.650, 191.367, 190.927, 98.222, -0.108, 0.000, IC, 0.487559, 0.018235, 0.042467, 0.028330, 11627.809, -2232.020, 1034.148, 10429.938, 10429.938, 0.934556, 9.747364, 1.625, 20708.865
ABC006_006, 49652.000, T, 39.426389, -74.601389, 1116.7, -5.000, 281.890, 1.205, 973.009298, 0.435, 191.000, 90.000, 118.572, 5.655, 186.053, 186.657, 96.025, -0.220, 0.000, IC, 0.506224, 0.018235, 0.042467, 0.029118, 11422.498, -4549.062, -5251.546, 1621.891, 1621.891, 0.928593, 8.189325, 1.365, 20707.500
ABC006_006, 49662.000, T, 39.421667, -74.589167, 1083.3, -5.000, 281.891, 1.205, 974.191466, 0.633, 186.000, 180.000, 118.665, 5.663, 183.351, 182.916, 94.100, -0.192, 0.000, IC, 0.528380, 0.018235, 0.042467, 0.030091, 11335.751, -3986.127, -2156.944, 5192.679, 5192.679, 0.921933, 8.190095, 1.365, 20706.135
ABC006_006, 49672.000, T, 39.418889, -74.581389, 933.3, -10.000, 281.893, 1.205, 979.525629, 0.397, 179.000, 90.000, 118.724, 5.668, 174.051, 175.151, 90.105, -0.360, 0.000, IC, 0.562850, 0.018235, 0.042467, 0.031689, 10945.475, -7463.265, -10085.159, -6602.949, -6602.949, 0.912368, 8.193557, 1.366, 20704.769
ABC006_006, 49682.000, T, 39.415278, -74.569722, 783.3, -15.000, 281.729, 1.212, 984.883418, 0.583, 172.000, 180.000, 114.187, 5.854, 169.686, 168.863, 86.871, -0.323, 0.000, IC, 0.606151, 0.018235, 0.042467, 0.033838, 10928.079, -6697.035, -10494.909, -6263.866, -6263.866, 0.900686, 8.197019, 1.366, 20703.403
ABC006_006, 49692.000, T, 39.413611, -74.561944, 783.3, -5.000, 281.723, 1.212, 984.883418, 0.374, 158.000, 90.000, 114.060, 5.866, 152.662, 154.772, 79.621, -0.645, 0.000, IC, 0.684680, 0.018235, 0.042467, 0.038143, 10350.705, -13360.927, 0.000, -3010.222, -3010.222, 0.883746, 8.197019, 1.366, 20702.037
